id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
1090129,5989897,within an hour,100%,77%,Enoggera,-27.4316,152.98991,Entire guest suite,Entire home/apt,5,1 bath,3.0,"[""Fire extinguisher"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Dining table"", ""Shared backyard \u2013 Fully fenced"", ""Free street parking"", ""Laundromat nearby"", ""Single level home"", ""Coffee maker: Nespresso"", ""Free parking on premises"", ""Hangers"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Body soap"", ""Dishwasher"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Free washer \u2013 In unit"", ""Patio or balcony"", ""Hot water kettle"", ""Smoke alarm"", ""Self check-in"", ""City skyline view"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Shower gel"", ""Essentials"", ""Shampoo"", ""Long term stays allowed"", ""Conditioner"", ""Kitchen"", ""High chair"", ""Clothing storage: closet"", ""Heating - split type ductless system"", ""Hot water"", ""Ceiling fan"", ""Cooking basics"", ""Stove"", ""Wifi"", ""Private entrance"", ""Drying rack for clothing"", ""Dedicated workspace"", ""TV with standard cable"", ""Pets allowed"", ""Lockbox""]",$170.00,101,12,0,2013-09-10,2024-02-28,4.68,4.79,4.75,4.96,4.88,4.69,4.68,0.78,brisbane
1295223,7043053,within an hour,100%,100%,Morningside - Seven Hills,-27.47118,153.0743,Entire rental unit,Entire home/apt,3,1 bath,2.0,"[""Fire extinguisher"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Dining table"", ""Free street parking"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Hangers"", ""Children\u2019s dinnerware"", ""Private patio or balcony"", ""Body soap"", ""Hair dryer"", ""Dishwasher"", ""Free residential garage on premises \u2013 1 space"", ""Bathtub"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Rice maker"", ""Baking sheet"", ""Smoke alarm"", ""Baby bath"", ""Self check-in"", ""Heating"", ""Outlet covers"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Books and reading material"", ""Coffee"", ""Keypad"", ""Shower gel"", ""Essentials"", ""Shampoo"", ""Long term stays allowed"", ""Conditioner"", ""HDTV"", ""Kitchen"", ""First aid kit"", ""Freezer"", ""Shared backyard \u2013 Not fully fenced"", ""Hot water"", ""Ceiling fan"", ""Cooking basics"", ""Stove"", ""Wifi"", ""Private entrance"", ""Blender"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Standalone high chair - available upon request"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""Crib - available upon request""]",$180.00,151,14,2,2013-07-27,2024-04-25,4.89,4.93,4.98,4.98,4.96,4.66,4.8,1.15,brisbane
1314106,7141160,within an hour,100%,93%,New Farm,-27.46325,153.04332,Private room in townhouse,Private room,2,1 private bath,1.0,"[""Lock on bedroom door"", ""Fire extinguisher"", ""Microwave"", ""Free driveway parking on premises"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Host greets you"", ""Free street parking"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Hangers"", ""Hair dryer"", ""Body soap"", ""Central air conditioning"", ""Dishwasher"", ""HDTV with Netflix"", ""Shared pool"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Hot water kettle"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Outdoor dining area"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Coffee maker"", ""Long term stays allowed"", ""Conditioner"", ""Kitchen"", ""Freezer"", ""Hot water"", ""Cooking basics"", ""Stove"", ""Shared patio or balcony"", ""Wifi"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Backyard"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""Pets allowed"", ""Lockbox"", ""EV charger""]",$116.00,499,123,10,2014-07-28,2024-05-02,4.89,4.91,4.93,4.93,4.93,4.94,4.86,4.19,brisbane
1430137,4967480,within an hour,100%,99%,Fortitude Valley,-27.4568,153.03356,Private room in rental unit,Private room,2,1 shared bath,1.0,"[""Microwave"", ""Elevator"", ""Dishes and silverware"", ""Hangers"", ""TV"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Extra pillows and blankets"", ""Shower gel"", ""Essentials"", ""Shampoo"", ""Kitchen"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Stove"", ""Wifi""]",$83.00,276,36,2,2013-08-19,2024-04-20,4.88,4.91,4.75,4.95,4.97,4.9,4.89,2.11,brisbane
1442705,7746724,within an hour,100%,83%,Kenmore,-27.51136,152.93874,Entire rental unit,Entire home/apt,4,2 baths,2.0,"[""Fire extinguisher"", ""Microwave"", ""Dishes and silverware"", ""Free street parking"", ""Free parking on premises"", ""Hangers"", ""TV"", ""Private patio or balcony"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Smoke alarm"", ""Cleaning available during stay"", ""Heating"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Smoking allowed"", ""Essentials"", ""Shampoo"", ""Long term stays allowed"", ""Kitchen"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Stove"", ""Air conditioning"", ""Wifi"", ""Backyard"", ""Pets allowed""]",$175.00,45,5,1,2015-09-21,2024-04-15,4.71,4.84,4.59,4.96,4.82,4.84,4.71,0.43,brisbane
1479909,6509735,within a day,100%,75%,South Brisbane,-27.47838,153.02295,Private room in rental unit,Private room,2,1 private bath,0.0,"[""Fire extinguisher"", ""Elevator"", ""Dishes and silverware"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Free parking on premises"", ""Hangers"", ""TV"", ""Body soap"", ""Hair dryer"", ""Shared pool"", ""Bathtub"", ""Bed linens"", ""Refrigerator"", ""Breakfast"", ""Patio or balcony"", ""Smoke alarm"", ""City skyline view"", ""Heating"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Long term stays allowed"", ""Conditioner"", ""First aid kit"", ""Washer"", ""Outdoor playground"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Dedicated workspace""]",$145.00,64,1,0,2013-09-11,2023-11-27,4.89,4.89,4.95,4.9,4.97,4.95,4.78,0.49,brisbane
1530759,8165214,within an hour,100%,97%,Yeronga,-27.51997,153.02713,Entire rental unit,Entire home/apt,5,2.5 baths,3.0,"[""LG electric stove"", ""Fire extinguisher"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Dining table"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Free street parking"", ""Laundromat nearby"", ""Free parking on premises"", ""Hangers"", ""Children\u2019s dinnerware"", ""Private patio or balcony"", ""TV with DVD player"", ""Body soap"", ""Hair dryer"", ""Dishwasher"", ""Courtyard view"", ""Shared gym nearby"", ""Bathtub"", ""Children\u2019s books and toys"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Free washer \u2013 In unit"", ""Board games"", ""Hot water kettle"", ""Rice maker"", ""Smoke alarm"", ""Baby bath"", ""Self check-in"", ""Heating"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Books and reading material"", ""Keypad"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Exterior security cameras on property"", ""Coffee maker"", ""Conditioner"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Kitchen"", ""Crib"", ""First aid kit"", ""High chair"", ""Freezer"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Private entrance"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""Clothing storage: closet and wardrobe"", ""Pets allowed""]",$160.00,147,19,0,2013-09-18,2024-02-24,4.74,4.8,4.62,4.88,4.87,4.75,4.66,1.13,brisbane
1563394,8318402,within a few hours,100%,93%,West End,-27.48153,153.01052,Private room in home,Private room,1,1 shared bath,1.0,"[""Microwave"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Cleaning products"", ""Hangers"", ""Bathtub"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Hot water kettle"", ""Baking sheet"", ""Smoke alarm"", ""Heating"", ""Outdoor dining area"", ""Iron"", ""Extra pillows and blankets"", ""Gas stove"", ""Toaster"", ""Essentials"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""Kitchen"", ""First aid kit"", ""Freezer"", ""Hot water"", ""Ceiling fan"", ""Cooking basics"", ""Shared patio or balcony"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Backyard"", ""Dedicated workspace"", ""Wine glasses""]",$80.00,87,15,0,2013-09-06,2024-03-14,4.73,4.87,4.64,4.91,4.86,4.96,4.75,0.67,brisbane
1607503,8562626,within a day,67%,0%,Boondall,-27.35174,153.06623,Private room in home,Private room,1,1.5 baths,1.0,"[""Iron"", ""Stove"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Washer"", ""TV"", ""Dryer"", ""Hair dryer""]",$65.00,5,0,0,2015-11-17,2020-05-09,4.6,4.8,4.8,4.6,5.0,4.6,4.8,0.05,brisbane
1661593,9131552,within an hour,100%,96%,Kangaroo Point,-27.46927,153.03663,Entire rental unit,Entire home/apt,8,2 baths,5.0,"[""Fire extinguisher"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Elevator"", ""Carbon monoxide alarm"", ""Single level home"", ""Laundromat nearby"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Free parking on premises"", ""Hangers"", ""TV"", ""Children\u2019s dinnerware"", ""Private patio or balcony"", ""Body soap"", ""Hair dryer"", ""Dishwasher"", ""Shared pool"", ""Bathtub"", ""Children\u2019s books and toys"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Ethernet connection"", ""Hot water kettle"", ""Rice maker"", ""Baking sheet"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Exercise equipment"", ""Iron"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Waterfront"", ""Toaster"", ""Books and reading material"", ""Keypad"", ""Shower gel"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo"", ""Coffee maker"", ""Long term stays allowed"", ""Conditioner"", ""Paid street parking off premises"", ""Kitchen"", ""Crib"", ""First aid kit"", ""High chair"", ""Freezer"", ""Hot water"", ""Ceiling fan"", ""Pocket wifi"", ""Game console"", ""Cooking basics"", ""Stove"", ""Shared sauna"", ""Air conditioning"", ""Wifi"", ""Private entrance"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Shared gym in building"", ""River view"", ""Free dryer \u2013 In unit"", ""Wine glasses""]",$414.00,240,44,2,2014-03-24,2024-04-25,4.78,4.83,4.72,4.82,4.93,4.92,4.68,1.95,brisbane
