id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
597299948635932099,383527612,within an hour,100%,100%,Kapunda,-34.23201,138.97174,Entire cottage,Entire home/apt,4,2 baths,2.0,[],$542.00,1,1,0,2023-02-26,2023-02-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,barossa_valley_sa
598893796161066227,91611833,within an hour,100%,100%,Tanunda,-34.525082,138.955566,Entire home,Entire home/apt,6,1 bath,4.0,[],$579.00,80,43,4,2022-04-20,2023-12-18,5.0,4.99,5.0,5.0,5.0,4.99,4.84,3.9,barossa_valley_sa
610466336457949581,428181353,within an hour,100%,98%,Penrice,-34.487904,139.033661,Entire home,Entire home/apt,6,1.5 baths,3.0,[],$190.00,48,25,0,2022-05-25,2023-11-12,4.8,4.84,4.57,4.92,4.88,4.9,4.69,2.48,barossa_valley_sa
611659077132662185,24432943,within an hour,100%,98%,Angaston,-34.50316,139.04548,Entire bungalow,Entire home/apt,9,2 baths,5.0,[],$225.00,18,18,1,2023-02-11,2023-11-26,4.89,4.94,5.0,5.0,4.89,5.0,4.67,1.69,barossa_valley_sa
623438660532088604,27555575,within an hour,100%,100%,Tanunda,-34.52648,138.95387,Entire cottage,Entire home/apt,4,2 baths,2.0,[],$313.00,82,49,1,2022-07-10,2023-11-30,4.94,4.98,4.99,4.99,4.98,5.0,4.85,4.6,barossa_valley_sa
625072901481223153,63139941,within an hour,100%,100%,Angaston,-34.49903,139.04269,Entire cottage,Entire home/apt,4,1.5 baths,2.0,[],$226.00,52,29,0,2022-06-11,2023-11-13,4.73,4.88,4.88,4.92,4.92,4.92,4.65,2.77,barossa_valley_sa
634520727307763774,460856186,within an hour,100%,100%,Altona,-34.59003,138.93501,Entire home,Entire home/apt,13,4 baths,9.0,[],$512.00,10,7,0,2022-09-04,2023-10-24,4.9,4.8,4.7,5.0,4.8,5.0,4.8,0.63,barossa_valley_sa
637886639776162642,461601857,within an hour,78%,97%,Tanunda,-34.51356,138.97308,Entire rental unit,Entire home/apt,4,1 bath,1.0,[],$263.00,14,3,0,2022-07-18,2023-04-24,4.14,4.14,4.36,4.64,4.21,4.79,3.93,0.8,barossa_valley_sa
637906590837702599,461601857,within an hour,78%,97%,Tanunda,-34.51365,138.97128,Entire rental unit,Entire home/apt,3,1 bath,2.0,[],$306.00,5,3,0,2022-11-16,2023-10-28,4.2,4.0,4.4,4.2,4.4,4.8,4.2,0.37,barossa_valley_sa
637911090164505078,461601857,within an hour,78%,97%,Tanunda,-34.51401,138.97144,Entire rental unit,Entire home/apt,4,1 bath,2.0,[],$358.00,2,1,0,2022-11-18,2023-04-07,4.5,4.5,4.5,5.0,5.0,4.5,3.5,0.15,barossa_valley_sa
637920461053069878,461601857,within an hour,78%,97%,Tanunda,-34.51574,138.97087,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$329.00,6,3,0,2022-08-02,2023-04-01,4.0,4.17,4.33,4.67,4.5,4.33,4.0,0.35,barossa_valley_sa
637928149292994175,461601857,within an hour,78%,97%,Tanunda,-34.51493,138.97129,Entire rental unit,Entire home/apt,3,1 bath,2.0,[],$310.00,1,0,0,2022-12-07,2022-12-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,barossa_valley_sa
637931106243766297,461601857,within an hour,78%,97%,Tanunda,-34.51392,138.9728,Entire rental unit,Entire home/apt,4,1 bath,3.0,[],$457.00,4,0,0,2022-06-25,2022-12-03,3.25,3.5,3.5,4.25,3.5,4.5,3.0,0.22,barossa_valley_sa
642268024740404371,461929112,within an hour,100%,100%,Angaston,-34.50089,139.05253,Entire cottage,Entire home/apt,2,1.5 baths,1.0,[],$269.00,53,34,4,2022-06-28,2023-12-16,4.98,5.0,5.0,5.0,4.98,5.0,4.89,2.91,barossa_valley_sa
674136485566649262,462115682,within an hour,100%,100%,Angaston,-34.5055,139.04626,Entire cottage,Entire home/apt,6,1 bath,3.0,[],$434.00,25,10,1,2022-08-07,2023-12-02,4.8,4.76,4.92,4.84,4.84,4.96,4.68,1.48,barossa_valley_sa
679330074770382060,124017088,within an hour,100%,77%,Buchfelde,-34.600042942479774,138.73399168252945,Private room in casa particular,Private room,2,1.5 shared baths,1.0,[],$92.00,12,7,0,2022-07-31,2023-06-18,4.33,4.25,4.58,4.58,4.58,4.58,4.42,0.7,barossa_valley_sa
685039112890901249,154813436,within an hour,100%,100%,Kapunda,-34.34246,138.90482,Entire home,Entire home/apt,2,1 bath,1.0,[],$207.00,28,23,0,2022-10-03,2023-10-20,4.83,4.86,4.97,4.97,4.93,4.76,4.66,1.87,barossa_valley_sa
694004921616356584,475104337,within an hour,100%,100%,Tanunda,-34.52947,138.95115,Entire cottage,Entire home/apt,2,1 bath,1.0,[],$280.00,7,7,0,2023-01-07,2023-11-22,5.0,5.0,5.0,5.0,5.0,5.0,4.57,0.59,barossa_valley_sa
701030563032420807,402141220,within an hour,100%,100%,Nuriootpa,-34.49453,138.97865,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$346.00,33,23,2,2022-09-11,2023-12-12,4.91,4.82,4.97,5.0,4.94,4.88,4.71,2.1,barossa_valley_sa
702031267609659440,439331891,within an hour,100%,100%,Bethany,-34.55362,138.97854,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$137.00,9,6,1,2022-10-06,2023-12-09,4.44,4.67,4.67,4.67,4.56,4.78,4.33,0.6,barossa_valley_sa
703395754090693752,439331891,within an hour,100%,100%,Bethany,-34.55359,138.97797,Entire guest suite,Entire home/apt,4,1 bath,2.0,[],$157.00,13,9,0,2022-10-13,2023-09-28,4.69,4.69,4.62,4.85,4.69,5.0,4.92,0.89,barossa_valley_sa
703872734491160951,439331891,within an hour,100%,100%,Bethany,-34.55279,138.97718,Entire guest suite,Entire home/apt,4,1 bath,2.0,[],$332.00,35,32,0,2022-11-13,2023-11-08,4.57,4.71,4.51,4.69,4.74,4.94,4.63,2.57,barossa_valley_sa
703873092978064872,439331891,within an hour,100%,100%,Bethany,-34.55455,138.97926,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$301.00,18,14,0,2022-09-24,2023-10-23,4.5,4.56,4.72,4.89,4.44,4.83,4.39,1.18,barossa_valley_sa
703873217398549559,439331891,within an hour,100%,100%,Bethany,-34.5528,138.97784,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$308.00,9,6,0,2022-10-08,2023-11-23,4.11,4.11,4.33,4.56,4.56,4.33,4.11,0.61,barossa_valley_sa
703873326508107679,439331891,within an hour,100%,100%,Bethany,-34.55494,138.97807,Entire guest suite,Entire home/apt,2,0 baths,1.0,[],$327.00,18,10,0,2022-09-09,2023-06-19,4.44,4.56,4.67,4.94,4.56,4.94,4.33,1.14,barossa_valley_sa
714091918722300599,479155405,within an hour,100%,100%,Tanunda,-34.52294851715476,138.95535176322934,Entire villa,Entire home/apt,10,5 baths,5.0,[],"$2,900.00",5,5,1,2023-02-26,2023-12-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.49,barossa_valley_sa
715671869674731648,93219392,within an hour,100%,98%,Eden Valley,-34.68654,139.09146,Entire guesthouse,Entire home/apt,3,1 bath,2.0,[],$185.00,17,17,0,2023-01-22,2023-11-11,5.0,4.94,5.0,5.0,5.0,4.94,4.88,1.5,barossa_valley_sa
