id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
51395426,173146469,2018-02-13,"Jolimont, Australia",within an hour,100%,99%,f,t,t,GINGIN,-31.10195,115.37885,Entire home,Entire home/apt,12,2 baths,9.0,[],$474.00,20,8,1,2021-10-10,2023-11-26,4.6,4.8,4.4,4.65,4.55,4.75,4.55,19,19,0,0,0.75,wa
687963780115359892,159388704,2017-11-19,"Augusta, Australia",within an hour,100%,99%,f,t,t,AUGUSTA-MARGARET RIVER,-34.31473,115.16098,Entire rental unit,Entire home/apt,4,1 bath,3.0,[],$256.00,6,5,0,2022-12-05,2023-09-27,4.33,4.67,4.67,4.83,4.83,4.67,4.33,31,31,0,0,0.47,wa
793054125689132183,56761404,2016-01-30,"Dunsborough, Australia",within an hour,100%,100%,t,t,t,BUSSELTON,-33.6306604,115.1122128,Entire guest suite,Entire home/apt,2,1 bath,1.0,[],$210.00,26,26,7,2023-01-18,2023-12-20,4.85,4.85,4.92,4.92,4.96,4.88,4.62,1,1,0,0,2.29,wa
826950355710942479,107222391,2016-12-14,"Western Australia, Australia",within an hour,100%,100%,t,t,t,COTTESLOE,-31.990106958145358,115.75353985458958,Entire rental unit,Entire home/apt,4,2 baths,2.0,[],$620.00,17,17,1,2023-05-09,2023-11-26,4.94,4.88,4.88,4.88,5.0,5.0,4.65,4,4,0,0,2.23,wa
21705779,146601270,2017-08-18,"Perth, Australia",within an hour,100%,100%,f,t,t,BELMONT,-31.96221,115.91359,Entire rental unit,Entire home/apt,4,1 bath,2.0,[],$170.00,112,17,0,2017-12-02,2023-11-13,4.62,4.84,4.57,4.81,4.9,4.82,4.71,1,1,0,0,1.52,wa
48304710,72662342,2016-05-18,"Binningup, Australia",within a few hours,100%,92%,f,t,t,HARVEY,-33.14479,115.68713,Entire home,Entire home/apt,12,2 baths,8.0,[],$500.00,72,23,0,2021-03-14,2023-11-19,4.86,4.85,4.59,4.99,4.93,4.93,4.79,11,11,0,0,2.13,wa
1006065237378499020,5750704,2013-04-03,"Perth, Australia",within an hour,100%,100%,f,t,t,STIRLING,-31.88766294939805,115.78770424326216,Private room in home,Private room,1,1 bath,1.0,[],$81.00,1,1,0,2023-11-17,2023-11-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,1,3,0,0.81,wa
18801000,15360130,2014-05-11,"Busselton, Australia",within an hour,92%,93%,t,t,t,BUSSELTON,-33.61318,115.10874,Entire home,Entire home/apt,6,2 baths,4.0,[],$242.00,122,37,3,2017-06-07,2023-12-09,4.93,4.89,4.81,4.95,4.94,4.96,4.72,86,86,0,0,1.53,wa
28964625,5673111,2013-03-29,"Fremantle, Australia",within an hour,100%,100%,t,t,t,FREMANTLE,-32.05921,115.77915,Entire guesthouse,Entire home/apt,2,1 bath,1.0,[],$210.00,46,17,3,2019-01-26,2023-12-18,4.93,4.93,4.89,4.85,4.93,4.78,4.8,2,2,0,0,0.77,wa
687963847953558958,159388704,2017-11-19,"Augusta, Australia",within an hour,100%,99%,f,t,t,AUGUSTA-MARGARET RIVER,-34.34514,115.1684,Entire home,Entire home/apt,4,1 bath,2.0,[],$366.00,9,7,0,2022-10-17,2023-10-22,4.78,4.56,4.56,4.89,5.0,4.89,4.33,31,31,0,0,0.62,wa
932868675900135016,104431444,2016-11-20,"Melbourne, Australia",within an hour,99%,99%,f,t,t,STIRLING,-31.9000541,115.7647163,Entire home,Entire home/apt,4,1 bath,2.0,[],$206.00,14,14,1,2023-07-19,2023-12-01,4.71,4.71,4.71,4.5,4.71,4.71,4.43,3,3,0,0,2.66,wa
698763582329668880,159388704,2017-11-19,"Augusta, Australia",within an hour,100%,99%,f,t,t,AUGUSTA-MARGARET RIVER,-34.31887,115.15996,Entire rental unit,Entire home/apt,2,2 baths,1.0,[],$999.00,4,4,0,2023-05-09,2023-11-08,4.75,5.0,5.0,5.0,4.75,5.0,5.0,31,31,0,0,0.52,wa
52606870,82004108,2016-07-06,"Western Australia, Australia",within an hour,100%,90%,t,t,t,GINGIN,-31.34921,115.50245,Entire home,Entire home/apt,8,2 baths,5.0,[],$350.00,57,19,1,2021-11-07,2023-12-17,4.95,4.93,4.93,4.96,4.98,5.0,4.88,1,1,0,0,2.2,wa
27911051,45056256,2015-09-25,"Yallingup, Australia",within an hour,100%,100%,t,t,t,BUSSELTON,-33.65366,115.05882,Entire home,Entire home/apt,4,1 bath,3.0,[],$282.00,281,60,3,2019-04-14,2023-12-07,4.95,4.96,4.9,4.99,4.97,4.99,4.85,3,3,0,0,4.92,wa
768672047603596632,16686077,2014-06-11,"Margaret River, Australia",within an hour,94%,90%,t,t,t,BUSSELTON,-33.72084,115.10805,Entire guesthouse,Entire home/apt,2,1 bath,1.0,[],$250.00,20,19,1,2022-12-18,2023-12-04,4.95,4.95,4.85,5.0,5.0,4.85,4.9,7,1,6,0,1.62,wa
18998331,23803370,2014-11-16,"Perth, Australia",within an hour,100%,30%,t,t,t,CAMBRIDGE,-31.93361,115.83067,Private room in bed and breakfast,Private room,2,1 private bath,2.0,[],$150.00,45,5,0,2017-08-28,2023-09-29,4.8,4.8,4.78,4.85,4.85,4.91,4.72,2,0,2,0,0.58,wa
6680521,34968829,2015-06-04,"Esperance, Australia",within a few hours,100%,89%,t,t,t,ESPERANCE,-33.86134,121.86003,Entire home,Entire home/apt,12,2 baths,10.0,[],$400.00,26,2,0,2015-06-23,2023-09-23,4.69,4.56,4.6,4.76,4.68,4.84,4.56,4,4,0,0,0.25,wa
17482622,72662342,2016-05-18,"Binningup, Australia",within a few hours,100%,92%,f,t,t,HARVEY,-33.15057,115.68893,Entire home,Entire home/apt,9,2 baths,6.0,[],$180.00,55,12,1,2017-05-13,2023-12-07,4.59,4.64,4.61,4.93,4.89,4.91,4.59,11,11,0,0,0.68,wa
