id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
36608511,129945846,2017-05-11,"Point Lonsdale, Australia",within an hour,100%,100%,f,t,t,Queenscliffe,-38.26835,144.66047,Entire home,Entire home/apt,8,2 baths,6.0,[],$738.00,8,1,0,2019-12-01,2023-03-26,5.0,5.0,5.0,5.0,5.0,4.88,4.63,58,58,0,0,0.16,barwon_south_west_vic
36884388,98644390,2016-10-07,"Lorne, Australia",within a day,100%,100%,f,t,t,Surf Coast,-38.54226,143.97368,Entire rental unit,Entire home/apt,4,2 baths,3.0,[],$600.00,16,5,0,2019-12-13,2023-11-06,4.75,4.69,4.75,4.75,4.63,5.0,4.44,1,1,0,0,0.33,barwon_south_west_vic
36884409,6170914,2013-04-30,"Torquay, Australia",within an hour,100%,89%,f,t,t,Surf Coast,-38.31178,144.35184,Entire condo,Entire home/apt,4,2 baths,2.0,[],$450.00,4,0,0,2020-01-12,2021-04-07,4.5,4.75,4.75,5.0,5.0,4.75,4.5,12,12,0,0,0.08,barwon_south_west_vic
36917046,13009658,2014-03-11,"Johanna, Australia",within an hour,100%,100%,t,t,t,Colac Otway,-38.73952,143.41495,Entire cottage,Entire home/apt,4,1 bath,2.0,[],$466.00,11,4,0,2019-10-20,2023-05-22,5.0,5.0,4.91,5.0,5.0,4.91,4.73,3,3,0,0,0.22,barwon_south_west_vic
36978470,98362024,2016-10-06,"Aireys Inlet, Australia",within a day,80%,60%,f,t,t,Surf Coast,-38.464615,144.090302,Entire home,Entire home/apt,6,2 baths,3.0,[],$395.00,9,1,0,2019-12-01,2023-02-17,4.44,4.56,4.78,4.67,4.22,4.89,4.33,113,113,0,0,0.18,barwon_south_west_vic
37001128,2735592,2012-06-25,"Craigieburn, Australia",within an hour,100%,100%,f,t,t,Colac Otway,-38.75677,143.66698,Entire home,Entire home/apt,6,1 bath,5.0,[],$595.00,52,4,0,2019-09-22,2023-01-24,4.77,4.88,4.77,4.98,4.94,4.98,4.75,1,1,0,0,1.0,barwon_south_west_vic
37062647,113930917,2017-01-30,"St Leonards, Australia",within an hour,100%,100%,f,t,t,Greater Geelong,-38.16235,144.37691,Entire bungalow,Entire home/apt,2,1 bath,1.0,[],$194.00,68,13,0,2019-08-24,2023-11-19,4.9,4.97,4.97,4.71,4.84,4.87,4.87,25,15,10,0,1.29,barwon_south_west_vic
37092429,27192016,2015-02-04,"Barwon Heads, Australia",within an hour,100%,93%,f,t,t,Greater Geelong,-38.27644,144.48445,Entire townhouse,Entire home/apt,7,2.5 baths,5.0,[],$576.00,3,0,0,2021-01-01,2022-09-24,4.33,4.0,3.33,4.33,4.67,4.0,3.67,40,40,0,0,0.08,barwon_south_west_vic
37095744,13009658,2014-03-11,"Johanna, Australia",within an hour,100%,100%,t,t,t,Colac Otway,-38.73811,143.41707,Entire cottage,Entire home/apt,4,1 bath,2.0,[],$479.00,25,3,0,2019-11-23,2023-11-09,4.96,5.0,5.0,5.0,5.0,5.0,4.72,3,3,0,0,0.5,barwon_south_west_vic
37259990,53105784,2016-01-03,"Washington, DC",within an hour,100%,100%,t,t,t,Colac Otway,-38.65623,143.70969,Entire home,Entire home/apt,4,1 bath,2.0,[],$480.00,186,36,0,2019-08-18,2023-11-21,4.9,4.94,4.8,4.98,4.99,4.91,4.79,2,2,0,0,3.5,barwon_south_west_vic
37367524,104022814,2016-11-16,"Apollo Bay, Australia",within an hour,99%,98%,f,t,t,Colac Otway,-38.74252,143.67097,Entire home,Entire home/apt,6,2 baths,4.0,[],$808.00,43,4,0,2019-09-23,2023-09-30,4.7,4.81,4.6,4.88,4.81,4.84,4.47,65,65,0,0,0.83,barwon_south_west_vic
