id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
664034489482985472,221271480,2018-10-17,"Sorrento, Australia",within a few hours,96%,61%,t,t,t,Point Nepean,-38.35057,144.75593,Entire home,Entire home/apt,10,3 baths,7.0,"[""Coffee maker"", ""Outdoor dining area"", ""Air conditioning"", ""Dishes and silverware"", ""Self check-in"", ""Kitchen"", ""Bay view"", ""Patio or balcony"", ""TV"", ""Hot water"", ""Backyard"", ""Washer"", ""Lockbox"", ""BBQ grill"", ""Free parking on premises"", ""Indoor fireplace"", ""Beach access"", ""Smoke alarm"", ""Wifi"", ""Refrigerator""]",$800.00,8,8,0,2023-07-02,2024-02-10,5.0,5.0,4.88,5.0,5.0,5.0,4.88,163,163,0,0,0.9,mornington_peninsula_vic
671566799002126228,391706938,2021-03-08,"Malvern, Australia",within a few hours,100%,75%,t,t,t,Flinders,-38.3769322,145.0314453,Entire home,Entire home/apt,6,2 baths,3.0,"[""Ceiling fan"", ""Heating - split type ductless system"", ""Hair dryer"", ""Essentials"", ""Electric stove"", ""Hot water"", ""Fireplace guards"", ""Private entrance"", ""Public or shared beach access"", ""Fire pit"", ""Lockbox"", ""Dining table"", ""Dedicated workspace"", ""Shower gel"", ""Fire extinguisher"", ""Dishes and silverware"", ""Outdoor furniture"", ""Books and reading material"", ""Microwave"", ""Dishwasher"", ""Board games"", ""Outdoor dining area"", ""Courtyard view"", ""Self check-in"", ""Room-darkening shades"", ""Cleaning products"", ""Body soap"", ""Garden view"", ""Drying rack for clothing"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Cooking basics"", ""Private patio or balcony"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Fast wifi \u2013 53 Mbps"", ""Conditioner"", ""Clothing storage: wardrobe and dresser"", ""Barbecue utensils"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Free washer \u2013 In building"", ""Kitchen"", ""Iron"", ""70\"" HDTV with Amazon Prime Video"", ""AC - split type ductless system"", ""Hot water kettle"", ""Free parking on premises"", ""Indoor fireplace: wood-burning"", ""Coffee"", ""Beach essentials"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Shampoo"", ""Stainless steel oven"", ""Toaster"", ""Bed linens"", ""Wine glasses"", ""First aid kit"", ""Baking sheet"", ""BBQ grill"", ""Mitsubishi  refrigerator"", ""Blender"", ""Freezer""]",$513.00,21,6,0,2022-08-06,2023-11-06,5.0,5.0,5.0,5.0,4.95,4.95,4.76,1,1,0,0,1.06,mornington_peninsula_vic
43571078,190556176,2018-05-20,"Melbourne, Australia",within an hour,67%,17%,f,t,t,Point Nepean,-38.33147,144.72192,Entire cottage,Entire home/apt,6,1 bath,5.0,"[""Clothing storage: closet"", ""Ceiling fan"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Public or shared beach access"", ""Free street parking"", ""Dryer"", ""Dining table"", ""Indoor fireplace"", ""Fire extinguisher"", ""Dishes and silverware"", ""Books and reading material"", ""Microwave"", ""Dishwasher"", ""Outdoor dining area"", ""Outdoor shower"", ""Cooking basics"", ""Private patio or balcony"", ""Extra pillows and blankets"", ""Stove"", ""Coffee maker"", ""Barbecue utensils"", ""Air conditioning"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Coffee"", ""Smoke alarm"", ""Refrigerator"", ""Ping pong table"", ""Bed linens"", ""TV"", ""Washer"", ""First aid kit"", ""BBQ grill"", ""Wifi"", ""Oven""]",$393.00,31,3,0,2020-06-08,2024-01-26,4.9,4.94,4.9,4.94,4.84,4.97,4.94,1,1,0,0,0.67,mornington_peninsula_vic
43490952,12039394,2014-02-07,"McKinnon, Australia",within a day,100%,77%,f,t,t,Flinders,-38.36593,144.9937,Entire home,Entire home/apt,6,2 baths,6.0,"[""Hair dryer"", ""Essentials"", ""Hot water"", ""Private entrance"", ""Fire pit"", ""Lockbox"", ""Dryer"", ""Children\u2019s books and toys"", ""Self check-in"", ""Dishes and silverware"", ""Outdoor furniture"", ""Microwave"", ""Dishwasher"", ""Outdoor dining area"", ""Single level home"", ""Cooking basics"", ""Backyard"", ""Stove"", ""Coffee maker"", ""Barbecue utensils"", ""Air conditioning"", ""Hangers"", ""Changing table"", ""Kitchen"", ""Heating"", ""Patio or balcony"", ""Iron"", ""Free parking on premises"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""TV"", ""Washer"", ""First aid kit"", ""High chair"", ""Wifi"", ""Oven""]",$500.00,8,5,0,2022-05-15,2023-11-25,4.88,4.88,5.0,4.88,5.0,5.0,4.88,1,1,0,0,0.35,mornington_peninsula_vic
40214478,110689406,2017-01-09,"Mornington, Australia",within an hour,99%,95%,t,t,t,Point Nepean,-38.3684196472168,144.7919464111328,Entire home,Entire home/apt,8,2 baths,6.0,"[""Hot water"", ""Private entrance"", ""Lockbox"", ""Dryer"", ""Self check-in"", ""Dishes and silverware"", ""Microwave"", ""Dishwasher"", ""Cooking basics"", ""Backyard"", ""Stove"", ""Air conditioning"", ""Hangers"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Smoke alarm"", ""Refrigerator"", ""Bed linens"", ""TV"", ""Washer"", ""Wifi""]",$289.00,91,14,1,2019-12-29,2024-03-11,4.84,4.93,4.86,4.97,4.89,4.89,4.74,47,47,0,0,1.76,mornington_peninsula_vic
39342013,15785517,2014-05-20,"Elwood, Australia",within a few hours,100%,78%,t,t,t,Point Nepean,-38.38137,144.8063,Entire home,Entire home/apt,10,2 baths,5.0,"[""Clothing storage: closet"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Private entrance"", ""Lockbox"", ""Free street parking"", ""Dryer"", ""Dining table"", ""Dedicated workspace"", ""Shower gel"", ""Fire extinguisher"", ""Dishes and silverware"", ""Oven"", ""Books and reading material"", ""Sukin shampoo"", ""Microwave"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Outdoor shower"", ""Board games"", ""Dishwasher"", ""Room-darkening shades"", ""Cleaning products"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Blender"", ""Drying rack for clothing"", ""Cooking basics"", ""Hammock"", ""Extra pillows and blankets"", ""Bread maker"", ""Bathtub"", ""Marshall sound system with Bluetooth and aux"", ""Stove"", ""Barbecue utensils"", ""Backyard"", ""Air conditioning"", ""Hangers"", ""Sukin body soap"", ""Kitchen"", ""Heating"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Iron"", ""Hot water kettle"", ""Free parking on premises"", ""Mini fridge"", ""Indoor fireplace: wood-burning"", ""Coffee"", ""Beach essentials"", ""Coffee maker: french press, Nespresso, pour-over coffee"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Ethernet connection"", ""Sukin conditioner"", ""Ping pong table"", ""Toaster"", ""Bed linens"", ""Exercise equipment"", ""Wine glasses"", ""TV"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Baking sheet"", ""High chair"", ""BBQ grill"", ""Wifi"", ""Freezer""]",$262.00,75,13,2,2019-11-22,2024-03-10,4.84,4.77,4.92,4.95,4.95,4.81,4.83,1,1,0,0,1.42,mornington_peninsula_vic
44649422,221271480,2018-10-17,"Sorrento, Australia",within a few hours,96%,61%,t,t,t,Point Nepean,-38.3895,144.7995,Entire home,Entire home/apt,10,2 baths,6.0,"[""Essentials"", ""Hot water"", ""Private entrance"", ""Lockbox"", ""Dryer"", ""Indoor fireplace"", ""Self check-in"", ""Cooking basics"", ""Backyard"", ""Air conditioning"", ""Hangers"", ""Kitchen"", ""Heating"", ""Patio or balcony"", ""Iron"", ""Free parking on premises"", ""Smoke alarm"", ""TV"", ""Washer"", ""Wifi"", ""Pool""]",$869.00,4,0,0,2020-11-29,2022-01-08,5.0,5.0,4.75,5.0,5.0,5.0,4.75,163,163,0,0,0.1,mornington_peninsula_vic
698136623601065099,48110325,2015-11-03,"Victoria, Australia",within an hour,100%,100%,f,t,t,Point Nepean,-38.37911,144.84647,Entire home,Entire home/apt,8,2 baths,0.0,"[""Clothing storage: walk-in closet and wardrobe"", ""Ceiling fan"", ""Gas stove"", ""Essentials"", ""Hot water"", ""Fire pit"", ""Lockbox"", ""Dining table"", ""Children\u2019s books and toys"", ""Shower gel"", ""Central air conditioning"", ""Dishes and silverware"", ""Books and reading material"", ""Microwave"", ""Dishwasher"", ""Board games"", ""Oven"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Cleaning products"", ""Body soap"", ""Outdoor playground"", ""Cooking basics"", ""Rice maker"", ""Outdoor kitchen"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Free washer \u2013 In unit"", ""Conditioner"", ""Coffee maker"", ""Barbecue utensils"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Heating"", ""Patio or balcony"", ""Hot water kettle"", ""Free parking on premises"", ""Free dryer \u2013 In unit"", ""Indoor fireplace: wood-burning"", ""65\"" TV"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Crib"", ""Refrigerator"", ""Private outdoor pool - available all year, open 24 hours, heated, saltwater"", ""Pool view"", ""Toaster"", ""Bed linens"", ""Wine glasses"", ""Baking sheet"", ""BBQ grill"", ""High chair"", ""Security cameras on property"", ""Wifi"", ""Freezer""]",$900.00,7,6,1,2022-12-31,2024-03-11,4.71,5.0,4.57,5.0,5.0,4.86,4.57,1,1,0,0,0.47,mornington_peninsula_vic
17408221,69110492,2016-04-26,"Blairgowrie, Australia",within a few hours,100%,43%,f,t,t,Point Nepean,-38.36983499861451,144.77129440780175,Entire home,Entire home/apt,7,2 baths,4.0,"[""Coffee maker"", ""Dishwasher"", ""Air conditioning"", ""Kitchen"", ""Bed linens"", ""Washer"", ""BBQ grill"", ""Pets allowed"", ""Beach access"", ""Backyard""]",$783.00,1,1,0,2024-01-01,2024-01-01,5.0,4.0,5.0,5.0,5.0,5.0,4.0,84,84,0,0,0.36,mornington_peninsula_vic
36192282,78413271,2016-06-18,"Victoria, Australia",within a few hours,100%,80%,t,t,t,Point Nepean,-38.38588,144.81115,Entire home,Entire home/apt,10,3 baths,7.0,"[""Hair dryer"", ""Essentials"", ""Hot water"", ""Private entrance"", ""Fire pit"", ""Free street parking"", ""Dryer"", ""Dining table"", ""Indoor fireplace"", ""Dedicated workspace"", ""Shower gel"", ""Oven"", ""Dishes and silverware"", ""Outdoor furniture"", ""Microwave"", ""Dishwasher"", ""Outdoor dining area"", ""Room-darkening shades"", ""Body soap"", ""Cooking basics"", ""Private patio or balcony"", ""Stove"", ""Coffee maker"", ""Barbecue utensils"", ""Air conditioning"", ""Hangers"", ""Kitchen"", ""Heating"", ""Iron"", ""Clothing storage"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee"", ""Smoke alarm"", ""Refrigerator"", ""Game console"", ""Toaster"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Wine glasses"", ""TV"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Baking sheet"", ""BBQ grill"", ""Wifi"", ""Freezer""]",$705.00,95,21,3,2019-09-21,2024-03-05,4.94,4.99,4.73,4.96,4.89,4.93,4.82,1,1,0,0,1.73,mornington_peninsula_vic
